id,text,activity_label,quantity,unit
593,I ate a vegetarian meal.,Vegetarian Meal,1,meal
594,I travelled 558 km by train.,Train,558,km
595,I took a bus for 723 km.,Bus,723,km
596,I took a bus for 74 km.,Bus,74,km
597,I cycled 769 km today.,Bike,769,km
598,I ate chicken for lunch.,Chicken Meal,1,meal
599,I took a train for 304 km today.,Train,304,km
600,I cycled 853 km today.,Bike,853,km
601,I had a chicken meal today.,Chicken Meal,1,meal
602,I watched TV for 4 hours.,Electricity,4,hour
603,I went for a 304 km walk.,Walking,304,km
604,I took a bus for 632 km.,Bus,632,km
605,I took a flight covering 704 km.,Flight,704,km
606,I had a chicken meal today.,Chicken Meal,1,meal
607,I took a train for 480 km today.,Train,480,km
608,I rode my bike for 751 km.,Bike,751,km
609,I took a train for 182 km today.,Train,182,km
610,I went for a 767 km walk.,Walking,767,km
611,I took a bus for 887 km.,Bus,887,km
612,I ate a vegetarian meal.,Vegetarian Meal,1,meal
613,I used the air conditioner for 11 hours.,Electricity,11,hour
614,I travelled 862 km by car.,Car,862,km
615,I had a veg lunch today.,Vegetarian Meal,1,meal
616,I drove my car 779 km to the office.,Car,779,km
617,I watched TV for 7 hours.,Electricity,7,hour
618,I commuted 342 km using the bus.,Bus,342,km
619,I had a veg lunch today.,Vegetarian Meal,1,meal
620,I flew 475 km today.,Flight,475,km
621,I travelled 533 km by train.,Train,533,km
622,I travelled 260 km by train.,Train,260,km
623,I commuted 136 km using the bus.,Bus,136,km
624,I took a train for 519 km today.,Train,519,km
625,I travelled 934 km by bus.,Bus,934,km
626,I walked 523 km today.,Walking,523,km
627,I flew 85 km today.,Flight,85,km
628,I took a flight covering 650 km.,Flight,650,km
629,I had a chicken meal today.,Chicken Meal,1,meal
630,I travelled 333 km by train.,Train,333,km
631,I ate a vegetarian meal.,Vegetarian Meal,1,meal
632,I used my car for 853 km today.,Car,853,km
633,I travelled 905 km by train.,Train,905,km
634,I flew 696 km today.,Flight,696,km
635,I ate chicken for lunch.,Chicken Meal,1,meal
636,I cycled 193 km today.,Bike,193,km
637,I took a flight covering 988 km.,Flight,988,km
638,I flew 607 km today.,Flight,607,km
639,I used the air conditioner for 1 hours.,Electricity,1,hour
640,I travelled 864 km by bus.,Bus,864,km
641,I used my computer for 11 hours.,Electricity,11,hour
642,I took a train for 738 km today.,Train,738,km
643,I had a chicken meal today.,Chicken Meal,1,meal
644,I walked 402 km today.,Walking,402,km
645,I travelled 330 km by bus.,Bus,330,km
646,I travelled 719 km by train.,Train,719,km
647,I travelled 980 km by bus.,Bus,980,km
648,I travelled 526 km by train.,Train,526,km
649,I used my computer for 6 hours.,Electricity,6,hour
650,I travelled 342 km by bus.,Bus,342,km
651,I travelled 63 km by car.,Car,63,km
652,I travelled 5 km by bus.,Bus,5,km
653,I ate a vegetarian meal.,Vegetarian Meal,1,meal
654,I ate a vegetarian meal.,Vegetarian Meal,1,meal
655,I had a chicken meal today.,Chicken Meal,1,meal
656,I rode my bike for 434 km.,Bike,434,km
657,I ate a vegetarian meal.,Vegetarian Meal,1,meal
658,I had a veg lunch today.,Vegetarian Meal,1,meal
659,I had a veg lunch today.,Vegetarian Meal,1,meal
660,I commuted 611 km using the bus.,Bus,611,km
661,I cycled 938 km today.,Bike,938,km
662,I used my car for 406 km today.,Car,406,km
663,I commuted 574 km using the bus.,Bus,574,km
664,I commuted 179 km using the bus.,Bus,179,km
665,I went for a 870 km walk.,Walking,870,km
666,I ate a vegetarian meal.,Vegetarian Meal,1,meal
667,I had a chicken meal today.,Chicken Meal,1,meal
668,I went for a 548 km walk.,Walking,548,km
669,I watched TV for 4 hours.,Electricity,4,hour
670,I rode my bike for 210 km.,Bike,210,km
671,I used the air conditioner for 4 hours.,Electricity,4,hour
672,I ate a vegetarian meal.,Vegetarian Meal,1,meal
673,I drove my car 779 km to the office.,Car,779,km
674,I commuted 759 km using the bus.,Bus,759,km
675,I walked 189 km today.,Walking,189,km
676,I took a flight covering 269 km.,Flight,269,km
677,I ate chicken for lunch.,Chicken Meal,1,meal
678,I rode my bike for 832 km.,Bike,832,km
679,I had a veg lunch today.,Vegetarian Meal,1,meal
680,I took a bus for 661 km.,Bus,661,km
681,I took a flight covering 736 km.,Flight,736,km
682,I took a bus for 830 km.,Bus,830,km
683,I travelled 193 km by bus.,Bus,193,km
684,I had a chicken meal today.,Chicken Meal,1,meal
685,I cycled 757 km today.,Bike,757,km
686,I took a flight covering 804 km.,Flight,804,km
687,I rode my bike for 47 km.,Bike,47,km
688,I had a veg lunch today.,Vegetarian Meal,1,meal
689,I had a chicken meal today.,Chicken Meal,1,meal
690,I used my computer for 11 hours.,Electricity,11,hour
691,I used the air conditioner for 2 hours.,Electricity,2,hour
692,I drove my car 81 km to the office.,Car,81,km
693,I flew 569 km today.,Flight,569,km
694,I rode my bike for 635 km.,Bike,635,km
695,I took a train for 254 km today.,Train,254,km
696,I travelled 263 km by train.,Train,263,km
697,I flew 261 km today.,Flight,261,km
698,I ate chicken for lunch.,Chicken Meal,1,meal
699,I ate chicken for lunch.,Chicken Meal,1,meal
700,I used my computer for 4 hours.,Electricity,4,hour
701,I took a flight covering 325 km.,Flight,325,km
702,I took a train for 147 km today.,Train,147,km
703,I ate a vegetarian meal.,Vegetarian Meal,1,meal
704,I flew 43 km today.,Flight,43,km
705,I travelled 501 km by train.,Train,501,km
706,I drove my car 11 km to the office.,Car,11,km
707,I ate a vegetarian meal.,Vegetarian Meal,1,meal
708,I cycled 309 km today.,Bike,309,km
709,I had a veg lunch today.,Vegetarian Meal,1,meal
710,I used my car for 92 km today.,Car,92,km
711,I ate a vegetarian meal.,Vegetarian Meal,1,meal
712,I ate a vegetarian meal.,Vegetarian Meal,1,meal
713,I used the air conditioner for 10 hours.,Electricity,10,hour
714,I travelled 553 km by train.,Train,553,km
715,I had a chicken meal today.,Chicken Meal,1,meal
716,I went for a 487 km walk.,Walking,487,km
717,I had a chicken meal today.,Chicken Meal,1,meal
718,I went for a 585 km walk.,Walking,585,km
719,I took a train for 695 km today.,Train,695,km
720,I ate chicken for lunch.,Chicken Meal,1,meal
721,I used the air conditioner for 7 hours.,Electricity,7,hour
722,I took a bus for 900 km.,Bus,900,km
723,I had a chicken meal today.,Chicken Meal,1,meal
724,I had a chicken meal today.,Chicken Meal,1,meal
725,I rode my bike for 878 km.,Bike,878,km
726,I used my car for 752 km today.,Car,752,km
727,I travelled 782 km by bus.,Bus,782,km
728,I walked 149 km today.,Walking,149,km
729,I walked 605 km today.,Walking,605,km
730,I used my car for 182 km today.,Car,182,km
731,I walked 46 km today.,Walking,46,km
732,I had a veg lunch today.,Vegetarian Meal,1,meal
733,I flew 24 km today.,Flight,24,km
734,I went for a 392 km walk.,Walking,392,km
735,I ate a vegetarian meal.,Vegetarian Meal,1,meal
736,I had a veg lunch today.,Vegetarian Meal,1,meal
737,I watched TV for 12 hours.,Electricity,12,hour
738,I travelled 742 km by car.,Car,742,km
739,I used my computer for 1 hours.,Electricity,1,hour
740,I cycled 177 km today.,Bike,177,km
741,I took a train for 380 km today.,Train,380,km
742,I went for a 584 km walk.,Walking,584,km
743,I used my car for 872 km today.,Car,872,km
744,I went for a 697 km walk.,Walking,697,km
745,I walked 546 km today.,Walking,546,km
746,I took a train for 324 km today.,Train,324,km
747,I commuted 811 km using the bus.,Bus,811,km
748,I cycled 677 km today.,Bike,677,km
749,I commuted 381 km using the bus.,Bus,381,km
750,I commuted 626 km using the bus.,Bus,626,km
751,I took a train for 280 km today.,Train,280,km
752,I took a train for 472 km today.,Train,472,km
753,I took a train for 826 km today.,Train,826,km
754,I used my car for 264 km today.,Car,264,km
755,I took a bus for 881 km.,Bus,881,km
756,I rode my bike for 687 km.,Bike,687,km
757,I cycled 802 km today.,Bike,802,km
758,I travelled 539 km by bus.,Bus,539,km
759,I cycled 372 km today.,Bike,372,km
760,I travelled 196 km by car.,Car,196,km
761,I walked 251 km today.,Walking,251,km
762,I took a flight covering 891 km.,Flight,891,km
763,I travelled 349 km by car.,Car,349,km
764,I took a flight covering 355 km.,Flight,355,km
765,I used my car for 788 km today.,Car,788,km
766,I used my car for 843 km today.,Car,843,km
767,I travelled 827 km by bus.,Bus,827,km
768,I used the air conditioner for 6 hours.,Electricity,6,hour
769,I flew 906 km today.,Flight,906,km
770,I commuted 162 km using the bus.,Bus,162,km
771,I travelled 359 km by train.,Train,359,km
772,I ate chicken for lunch.,Chicken Meal,1,meal
773,I had a chicken meal today.,Chicken Meal,1,meal
774,I ate a vegetarian meal.,Vegetarian Meal,1,meal
775,I drove my car 617 km to the office.,Car,617,km
776,I used my car for 250 km today.,Car,250,km
777,I travelled 281 km by bus.,Bus,281,km
778,I had a veg lunch today.,Vegetarian Meal,1,meal
779,I had a veg lunch today.,Vegetarian Meal,1,meal
780,I travelled 198 km by car.,Car,198,km
781,I rode my bike for 803 km.,Bike,803,km
782,I travelled 240 km by car.,Car,240,km
783,I took a train for 64 km today.,Train,64,km
784,I travelled 196 km by train.,Train,196,km
785,I rode my bike for 829 km.,Bike,829,km
786,I took a bus for 332 km.,Bus,332,km
787,I took a train for 748 km today.,Train,748,km
788,I travelled 37 km by car.,Car,37,km
789,I had a chicken meal today.,Chicken Meal,1,meal
790,I used my car for 398 km today.,Car,398,km
791,I flew 421 km today.,Flight,421,km
792,I took a flight covering 275 km.,Flight,275,km
793,I took a bus for 996 km.,Bus,996,km
794,I had a chicken meal today.,Chicken Meal,1,meal
795,I took a train for 213 km today.,Train,213,km
796,I walked 71 km today.,Walking,71,km
797,I ate chicken for lunch.,Chicken Meal,1,meal
798,I took a bus for 964 km.,Bus,964,km
799,I took a flight covering 621 km.,Flight,621,km
800,I rode my bike for 614 km.,Bike,614,km
801,I rode my bike for 621 km.,Bike,621,km
802,I rode my bike for 417 km.,Bike,417,km
803,I walked 727 km today.,Walking,727,km
804,I took a bus for 276 km.,Bus,276,km
805,I took a bus for 524 km.,Bus,524,km
806,I took a bus for 763 km.,Bus,763,km
807,I rode my bike for 383 km.,Bike,383,km
808,I ate chicken for lunch.,Chicken Meal,1,meal
809,I commuted 568 km using the bus.,Bus,568,km
810,I took a flight covering 136 km.,Flight,136,km
811,I commuted 98 km using the bus.,Bus,98,km
812,I flew 715 km today.,Flight,715,km
813,I ate chicken for lunch.,Chicken Meal,1,meal
814,I travelled 938 km by bus.,Bus,938,km
815,I had a chicken meal today.,Chicken Meal,1,meal
816,I used my computer for 1 hours.,Electricity,1,hour
817,I commuted 95 km using the bus.,Bus,95,km
818,I flew 195 km today.,Flight,195,km
819,I commuted 36 km using the bus.,Bus,36,km
820,I rode my bike for 117 km.,Bike,117,km
821,I had a veg lunch today.,Vegetarian Meal,1,meal
822,I travelled 570 km by train.,Train,570,km
823,I travelled 756 km by train.,Train,756,km
824,I had a veg lunch today.,Vegetarian Meal,1,meal
825,I took a flight covering 646 km.,Flight,646,km
826,I had a veg lunch today.,Vegetarian Meal,1,meal
827,I used the air conditioner for 9 hours.,Electricity,9,hour
828,I walked 158 km today.,Walking,158,km
829,I watched TV for 12 hours.,Electricity,12,hour
830,I flew 936 km today.,Flight,936,km
831,I cycled 626 km today.,Bike,626,km
832,I travelled 790 km by train.,Train,790,km
833,I drove my car 929 km to the office.,Car,929,km
834,I took a bus for 478 km.,Bus,478,km
835,I took a bus for 940 km.,Bus,940,km
836,I cycled 169 km today.,Bike,169,km
837,I watched TV for 5 hours.,Electricity,5,hour
838,I drove my car 270 km to the office.,Car,270,km
839,I walked 251 km today.,Walking,251,km
840,I ate a vegetarian meal.,Vegetarian Meal,1,meal
841,I rode my bike for 830 km.,Bike,830,km
842,I ate chicken for lunch.,Chicken Meal,1,meal
843,I used the air conditioner for 8 hours.,Electricity,8,hour
844,I travelled 628 km by bus.,Bus,628,km
845,I had a veg lunch today.,Vegetarian Meal,1,meal
846,I drove my car 535 km to the office.,Car,535,km
847,I had a chicken meal today.,Chicken Meal,1,meal
848,I cycled 183 km today.,Bike,183,km
849,I walked 200 km today.,Walking,200,km
850,I ate a vegetarian meal.,Vegetarian Meal,1,meal
851,I walked 646 km today.,Walking,646,km
852,I took a bus for 683 km.,Bus,683,km
853,I drove my car 881 km to the office.,Car,881,km
854,I travelled 806 km by car.,Car,806,km
855,I cycled 570 km today.,Bike,570,km
856,I went for a 673 km walk.,Walking,673,km
857,I watched TV for 12 hours.,Electricity,12,hour
858,I flew 163 km today.,Flight,163,km
859,I cycled 877 km today.,Bike,877,km
860,I cycled 567 km today.,Bike,567,km
861,I had a veg lunch today.,Vegetarian Meal,1,meal
862,I ate a vegetarian meal.,Vegetarian Meal,1,meal
863,I had a veg lunch today.,Vegetarian Meal,1,meal
864,I flew 658 km today.,Flight,658,km
865,I went for a 256 km walk.,Walking,256,km
866,I used my computer for 12 hours.,Electricity,12,hour
867,I rode my bike for 391 km.,Bike,391,km
868,I rode my bike for 116 km.,Bike,116,km
869,I rode my bike for 116 km.,Bike,116,km
870,I flew 306 km today.,Flight,306,km
871,I took a flight covering 468 km.,Flight,468,km
872,I walked 779 km today.,Walking,779,km
873,I cycled 950 km today.,Bike,950,km
874,I took a train for 7 km today.,Train,7,km
875,I cycled 873 km today.,Bike,873,km
876,I flew 247 km today.,Flight,247,km
877,I used the air conditioner for 4 hours.,Electricity,4,hour
878,I used the air conditioner for 11 hours.,Electricity,11,hour
879,I ate chicken for lunch.,Chicken Meal,1,meal
880,I walked 617 km today.,Walking,617,km
881,I took a flight covering 131 km.,Flight,131,km
882,I flew 36 km today.,Flight,36,km
883,I used the air conditioner for 9 hours.,Electricity,9,hour
884,I rode my bike for 27 km.,Bike,27,km
885,I ate a vegetarian meal.,Vegetarian Meal,1,meal
886,I ate a vegetarian meal.,Vegetarian Meal,1,meal
887,I used my car for 891 km today.,Car,891,km
888,I walked 739 km today.,Walking,739,km
889,I used the air conditioner for 7 hours.,Electricity,7,hour
890,I used the air conditioner for 10 hours.,Electricity,10,hour
891,I took a bus for 50 km.,Bus,50,km
892,I cycled 189 km today.,Bike,189,km
893,I had a chicken meal today.,Chicken Meal,1,meal
894,I went for a 436 km walk.,Walking,436,km
895,I travelled 315 km by train.,Train,315,km
896,I commuted 635 km using the bus.,Bus,635,km
897,I walked 561 km today.,Walking,561,km
898,I ate chicken for lunch.,Chicken Meal,1,meal
899,I cycled 375 km today.,Bike,375,km
900,I used the air conditioner for 4 hours.,Electricity,4,hour
901,I watched TV for 3 hours.,Electricity,3,hour
902,I commuted 413 km using the bus.,Bus,413,km
903,I travelled 260 km by train.,Train,260,km
904,I ate a vegetarian meal.,Vegetarian Meal,1,meal
905,I used the air conditioner for 11 hours.,Electricity,11,hour
906,I had a veg lunch today.,Vegetarian Meal,1,meal
907,I travelled 861 km by train.,Train,861,km
908,I watched TV for 5 hours.,Electricity,5,hour
909,I used my computer for 12 hours.,Electricity,12,hour
910,I travelled 711 km by train.,Train,711,km
911,I went for a 120 km walk.,Walking,120,km
912,I drove my car 45 km to the office.,Car,45,km
913,I ate chicken for lunch.,Chicken Meal,1,meal
914,I ate a vegetarian meal.,Vegetarian Meal,1,meal
915,I watched TV for 6 hours.,Electricity,6,hour
916,I went for a 27 km walk.,Walking,27,km
917,I took a flight covering 929 km.,Flight,929,km
918,I flew 843 km today.,Flight,843,km
919,I used the air conditioner for 2 hours.,Electricity,2,hour
920,I travelled 988 km by train.,Train,988,km
921,I went for a 296 km walk.,Walking,296,km
922,I walked 828 km today.,Walking,828,km
923,I used the air conditioner for 12 hours.,Electricity,12,hour
924,I had a chicken meal today.,Chicken Meal,1,meal
925,I took a train for 578 km today.,Train,578,km
926,I travelled 942 km by car.,Car,942,km
927,I travelled 479 km by train.,Train,479,km
928,I commuted 822 km using the bus.,Bus,822,km
929,I went for a 270 km walk.,Walking,270,km
930,I had a veg lunch today.,Vegetarian Meal,1,meal
931,I had a veg lunch today.,Vegetarian Meal,1,meal
932,I commuted 211 km using the bus.,Bus,211,km
933,I had a chicken meal today.,Chicken Meal,1,meal
934,I used the air conditioner for 8 hours.,Electricity,8,hour
935,I used my computer for 9 hours.,Electricity,9,hour
936,I had a veg lunch today.,Vegetarian Meal,1,meal
937,I went for a 324 km walk.,Walking,324,km
938,I travelled 41 km by car.,Car,41,km
939,I used my computer for 3 hours.,Electricity,3,hour
940,I ate a vegetarian meal.,Vegetarian Meal,1,meal
941,I took a train for 327 km today.,Train,327,km
942,I used the air conditioner for 9 hours.,Electricity,9,hour
943,I ate a vegetarian meal.,Vegetarian Meal,1,meal
944,I walked 967 km today.,Walking,967,km
945,I travelled 689 km by train.,Train,689,km
946,I watched TV for 2 hours.,Electricity,2,hour
947,I ate a vegetarian meal.,Vegetarian Meal,1,meal
948,I took a train for 904 km today.,Train,904,km
949,I drove my car 373 km to the office.,Car,373,km
950,I ate chicken for lunch.,Chicken Meal,1,meal
951,I took a train for 926 km today.,Train,926,km
952,I used my car for 766 km today.,Car,766,km
953,I ate a vegetarian meal.,Vegetarian Meal,1,meal
954,I used my computer for 1 hours.,Electricity,1,hour
955,I ate a vegetarian meal.,Vegetarian Meal,1,meal
956,I had a chicken meal today.,Chicken Meal,1,meal
957,I travelled 407 km by car.,Car,407,km
958,I took a bus for 59 km.,Bus,59,km
959,I drove my car 591 km to the office.,Car,591,km
960,I travelled 252 km by car.,Car,252,km
961,I travelled 33 km by train.,Train,33,km
962,I cycled 706 km today.,Bike,706,km
963,I rode my bike for 438 km.,Bike,438,km
964,I walked 642 km today.,Walking,642,km
965,I travelled 589 km by bus.,Bus,589,km
966,I flew 179 km today.,Flight,179,km
967,I cycled 803 km today.,Bike,803,km
968,I took a train for 977 km today.,Train,977,km
969,I walked 517 km today.,Walking,517,km
970,I used my car for 351 km today.,Car,351,km
971,I travelled 655 km by car.,Car,655,km
972,I rode my bike for 280 km.,Bike,280,km
973,I travelled 4 km by car.,Car,4,km
974,I had a veg lunch today.,Vegetarian Meal,1,meal
975,I took a flight covering 255 km.,Flight,255,km
976,I had a veg lunch today.,Vegetarian Meal,1,meal
977,I commuted 417 km using the bus.,Bus,417,km
978,I had a veg lunch today.,Vegetarian Meal,1,meal
979,I had a chicken meal today.,Chicken Meal,1,meal
980,I walked 851 km today.,Walking,851,km
981,I ate chicken for lunch.,Chicken Meal,1,meal
982,I ate a vegetarian meal.,Vegetarian Meal,1,meal
983,I travelled 901 km by bus.,Bus,901,km
984,I had a chicken meal today.,Chicken Meal,1,meal
985,I ate a vegetarian meal.,Vegetarian Meal,1,meal
986,I walked 450 km today.,Walking,450,km
987,I used the air conditioner for 10 hours.,Electricity,10,hour
988,I walked 191 km today.,Walking,191,km
989,I travelled 354 km by bus.,Bus,354,km
990,I rode my bike for 398 km.,Bike,398,km
991,I rode my bike for 999 km.,Bike,999,km
992,I walked 770 km today.,Walking,770,km
993,I used my computer for 5 hours.,Electricity,5,hour
994,I travelled 115 km by bus.,Bus,115,km
995,I rode my bike for 4 km.,Bike,4,km
996,I went for a 23 km walk.,Walking,23,km
997,I drove my car 869 km to the office.,Car,869,km
998,I watched TV for 11 hours.,Electricity,11,hour
999,I ate a vegetarian meal.,Vegetarian Meal,1,meal
1000,I had a chicken meal today.,Chicken Meal,1,meal
